Sample A1_Ex465_Em530,,Sample A1_Ex465_Em590,,Sample A2_Ex465_Em530,,Sample A2_Ex465_Em590,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
9.008333206,44.27724838,9.027228355,211.9628906,9.062561989,54.34305954,9.081479073,148.3679199,
9.508333206,44.09522247,9.527228355,210.0417633,9.563416481,54.44092941,9.582333565,148.5431061,
10.00833321,44.05018234,10.02722836,211.6855011,10.06225014,55.00510025,10.08116627,149.6409607,
10.50833321,43.92116547,10.52722836,211.155838,10.56391716,54.27122498,10.58283329,147.3490295,
11.00833321,43.8203125,11.02722836,213.230835,11.06241703,54.4696312,11.08133316,147.9454346,
11.50833321,43.82723999,11.52722836,213.6796265,11.56447983,55.10225296,11.583395,148.335968,
12.00833321,43.97505188,12.02722836,213.1939697,12.06264591,55.1723175,12.08156204,147.0444031,
12.50833321,44.2077713,12.52722836,213.7993469,12.56262493,55.26017761,12.58154202,145.8328552,
13.00833321,44.0831871,13.02722836,213.3775635,13.06300068,55.06567383,13.08189583,145.8482666,
13.50833321,44.29921341,13.52722836,212.9973602,13.56341648,55.97344208,13.58233356,147.0070038,
14.00833321,44.12277603,14.02722836,212.9046783,14.06362534,55.71980667,14.08254147,146.0565796,
14.50833321,44.09465408,14.52722836,212.9525146,14.56395912,55.72481537,14.5828743,146.7293243,
15.00833321,43.66548538,15.02722836,213.3097229,15.06358337,56.14894104,15.08258343,145.8447418,
15.50833321,44.56697845,15.52731228,212.1855316,15.56424999,55.5502243,15.58316612,144.892395,
16.00833321,43.98488235,16.02722931,212.5521088,16.06322861,56.22595596,16.08214569,144.0642395,
16.50833321,43.99254227,16.52722931,210.4406891,16.56362534,56.62504196,16.58254242,146.2675476,
17.00833321,43.76953506,17.02722931,211.8676147,17.06274986,56.45435333,17.08166695,145.4705353,
17.50833321,44.16199112,17.52722931,210.9649353,17.56262398,57.11242676,17.58154106,144.1996918,
18.00833321,44.15304565,18.02722931,210.3394623,18.0632515,56.77093124,18.08216667,146.1186981,
18.50833321,44.66335678,18.52722931,210.758194,18.56391525,56.21611786,18.58283234,144.0697632,
19.00833321,43.58322525,19.02722931,209.9601288,19.06441689,56.39009857,19.08333397,143.8451538,
19.50833321,43.6799736,19.52725029,212.0771637,19.56475067,56.26957321,19.58366776,144.6260071,
20.00833321,43.71266556,20.02722931,210.3094177,20.06358147,56.91321564,20.08249855,145.1507721,
20.50833321,44.08804321,20.52722931,210.6480865,20.56262398,56.29464722,20.58154106,144.9501343,
21.00833321,44.5091362,21.02722931,210.2650604,21.0640831,56.57477951,21.08300018,143.1583862,
21.50833321,43.69300461,21.52722931,210.6439819,21.5639782,57.34503555,21.58289528,144.3755035,
22.00833321,43.99814987,22.02722931,209.3207092,22.06308365,56.65147781,22.08200073,144.0387115,
22.50833321,44.28913498,22.52722931,209.3153076,22.56391525,56.85848618,22.58283234,145.7963867,
23.00833321,43.78051758,23.02722931,210.2957764,23.06291771,57.28346252,23.08183479,144.6448212,
23.50833321,43.81016159,23.52725029,209.034668,23.56258392,57.51903915,23.58150101,142.5153961,
