Wavelength (nm),Intensity (a.u.),Z Axis,
,Sample A1,Sample A2,Sample A3,Sample A4,Sample A5,Sample A6,Sample A7,Sample B7,Sample B6,Sample B5,Sample B4,Sample B3,Sample B2,Sample B1,Sample C1,Sample C2,Sample C3,Sample C4,Sample C5,Sample C6,Sample C7
453.929992675781,114.955772399902,108.62752532959,111.442611694336,126.917373657227,91.2323455810547,115.444160461426,0.45130780339241,1.03629088401794,128.0830078125,122.568283081055,117.904014587402,117.984405517578,79.1209182739258,111.967987060547,116.404693603516,118.736808776855,104.84806060791,83.6378860473633,82.0490646362305,109.772506713867,0.606712996959686
455,107.595062255859,120.028442382812,112.448341369629,122.986938476563,95.5814971923828,119.957664489746,0.225706204771996,0.736362338066101,121.329460144043,115.540046691895,126.704093933105,120.043228149414,70.0709381103516,116.796905517578,128.572250366211,110.523361206055,106.90673828125,88.9378509521484,75.2582244873047,113.807426452637,0.26271116733551
456.059997558594,120.92741394043,111.589859008789,113.650833129883,125.870956420898,92.51611328125,128.62353515625,0.623007297515869,0.996924340724945,132.251266479492,122.833236694336,114.250289916992,129.087600708008,82.2043151855469,122.035438537598,120.970092773437,110.974639892578,110.928665161133,90.6571960449219,83.465934753418,117.856521606445,0.582282543182373
456.959991455078,113.108283996582,111.325569152832,110.866600036621,129.905288696289,91.7169570922852,126.066627502441,0.216543972492218,0.389647662639618,131.289093017578,110.439720153809,124.415336608887,122.999824523926,68.5499649047852,124.852203369141,123.107597351074,122.872283935547,109.547760009766,80.4441375732422,93.8891754150391,119.865104675293,0.897635042667389
458.029998779297,117.055961608887,118.093391418457,110.770416259766,129.914077758789,90.1990051269531,121.403549194336,0.453057110309601,0.771315038204193,128.137619018555,116.39820098877,124.273986816406,121.682968139648,81.7266235351562,133.355606079102,132.926910400391,123.173416137695,116.71435546875,83.5083160400391,85.0275955200195,114.422790527344,1.212482213974
458.929992675781,110.041816711426,113.152351379395,114.416198730469,122.394165039062,87.8097305297852,120.42195892334,1.27282905578613,0.566939353942871,131.880432128906,132.154327392578,125.809494018555,128.662673950195,79.0692901611328,126.746269226074,124.518417358398,122.483039855957,121.306266784668,89.1049423217773,84.6155471801758,117.83536529541,0.90698379278183
460,114.894340515137,117.432998657227,120.188026428223,128.823928833008,94.0794982910156,135.025604248047,0.431875914335251,0.920033693313599,140.963088989258,131.26286315918,124.322998046875,129.842788696289,78.894660949707,117.55492401123,130.814300537109,129.645065307617,110.362617492676,91.0836791992188,87.7657318115234,124.658004760742,0.5799999833107
461.059997558594,118.232429504395,123.463562011719,118.690887451172,121.92578125,94.7766418457031,127.50993347168,0.509995937347412,0.527843773365021,122.184371948242,134.305892944336,126.274185180664,135.054931640625,80.22216796875,121.831100463867,124.66822052002,121.25707244873,112.83268737793,92.6514129638672,85.5030670166016,117.689414978027,1.09878027439117
461.959991455078,124.882629394531,120.555541992187,121.686172485352,127.170097351074,89.2712249755859,125.792610168457,0.425298154354095,0.460092455148697,134.195159912109,124.61279296875,133.468505859375,134.539276123047,80.1181182861328,132.963134765625,131.398483276367,121.653663635254,115.285705566406,95.5517807006836,85.3913269042969,124.195869445801,0.461758017539978
463.029998779297,118.61939239502,122.733589172363,116.37663269043,126.610488891602,99.1621780395508,129.446548461914,0.944692552089691,0.621093928813934,132.132568359375,136.082977294922,125.320358276367,132.066818237305,82.6468124389648,131.121200561523,131.246643066406,127.24365234375,118.356857299805,94.4424514770508,85.6398162841797,120.801986694336,0.504717171192169
463.929992675781,123.097557067871,115.404357910156,132.480422973633,130.047210693359,99.8178634643555,125.316116333008,0.680286169052124,1.58859837055206,136.342987060547,144.349594116211,126.98087310791,137.543060302734,76.7772369384766,130.189422607422,130.437515258789,131.53288269043,131.068756103516,91.022834777832,92.309455871582,126.698867797852,0.668300330638886
465,122.012809753418,121.543319702148,125.352249145508,132.233581542969,91.9078674316406,132.090347290039,0.232187867164612,0.550874292850494,140.702911376953,134.188003540039,137.321578979492,140.919387817383,79.5354156494141,128.980865478516,127.213195800781,125.811157226563,120.410186767578,87.9041290283203,91.5001449584961,125.29948425293,0.897111296653748
466.059997558594,119.557586669922,123.291877746582,123.260391235352,127.375335693359,106.614555358887,134.5498046875,1.22267782688141,0.795378386974335,140.302917480469,126.916435241699,124.365478515625,138.862976074219,82.9393005371094,123.0009765625,129.625518798828,130.749755859375,126.052154541016,91.9123764038086,93.4092178344727,123.020210266113,0.319131970405579
466.959991455078,131.235214233398,126.934112548828,125.372901916504,127.90193939209,95.2911758422852,123.372482299805,0.667225539684296,1.16532826423645,143.043075561523,122.47159576416,132.388214111328,137.258636474609,85.5804977416992,135.118911743164,129.27360534668,138.203170776367,112.142944335938,93.3659439086914,99.2900466918945,127.547874450684,0.678105413913727
468.029998779297,121.020950317383,127.076698303223,123.272186279297,138.222869873047,102.271385192871,135.850921630859,1.11756813526154,0.69330096244812,145.791473388672,142.709762573242,134.07942199707,139.411376953125,86.520149230957,129.770660400391,128.785247802734,132.165420532227,113.978637695312,96.8701095581055,94.5398101806641,122.563766479492,0.445001810789108
