Sample A1,,Sample A2,,Sample A3,,Sample A4,,Sample A5,,Sample A6,,Sample A7,,Sample A8,,Sample A9,,Sample A10,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
91.0008316,23.44706917,91.02047729,27.65952301,91.0417099,35.1868782,91.06289673,29.34075737,91.08325195,25.64102554,91.10439301,25.54555702,91.1245575,26.01391792,91.14589691,22.07745171,91.16625214,21.07998848,91.18753815,28.69306374,
92.0008316,19.5508709,92.02087402,22.36429596,92.0410614,33.71923828,92.06189728,28.50344658,92.08280945,32.83574677,92.10380554,27.97489738,92.12521362,23.11417198,92.1462326,22.13698387,92.16673279,22.92571259,92.18762207,28.51647949,
93.0008316,24.25450325,93.02179718,28.26996803,93.04273224,27.18601799,93.06381226,31.70222473,93.08387756,28.13587379,93.10508728,28.07519531,93.12637329,20.86654091,93.14606476,23.99253464,93.16728973,21.60478783,93.18787384,32.95986938,
94.0008316,22.75984383,94.02053833,30.47305489,94.04155731,35.0841713,94.06223297,31.27592087,94.08321381,25.87234116,94.1042099,28.86417389,94.12537384,20.50170135,94.14589691,24.46520615,94.1672287,19.47327995,94.18772888,28.38534164,
95.0008316,24.55922508,95.02306366,28.91761208,95.04322815,30.38834953,95.06439972,32.44977188,95.0849762,30.68162727,95.1062088,29.1868,95.1272049,23.00910568,95.14772797,22.60944557,95.16904449,23.17695045,95.1893692,29.60067749,
96.0008316,22.73789978,96.0212326,24.47764015,96.04181671,32.25012207,96.06289673,29.0495739,96.08339691,29.38027573,96.10428619,30.29499626,96.12537384,26.0706749,96.14587402,19.47302437,96.16654205,22.28588104,96.18672943,26.21011353,
97.0008316,25.2710228,97.02256012,29.34092522,97.04304504,28.64310455,97.06408691,31.6560421,97.08454132,28.26762199,97.10539246,27.63025856,97.12592316,23.859478,97.14746094,20.24123383,97.16754913,21.0418148,97.18889618,29.41768074,
98.0008316,23.68121719,98.02087402,27.38582993,98.0410614,28.51439285,98.06208801,28.56930351,98.08321381,25.15283012,98.10423279,29.50377846,98.12489319,23.15623665,98.14514923,21.79006958,98.16608429,23.78278542,98.18656158,29.18948364,
99.0008316,26.09113884,99.02091217,27.66650009,99.04174805,30.77106857,99.06287384,29.34244156,99.08387756,28.03555298,99.10453796,29.55164719,99.12497711,21.62602806,99.14589691,24.85362053,99.16697693,20.35082626,99.18739319,29.62228584,
100.0008316,23.88488579,100.0200424,31.01942444,100.0413742,29.91484451,100.0617294,27.81019592,100.0826263,24.31037903,100.103714,27.41769981,100.1243973,19.82118225,100.145462,21.71939087,100.1663971,22.61374474,100.1865768,29.38767242,
