Sample M4,,
Time (min),Intensity (a.u.),
51.10916901,242.7047577,
51.11083603,228.2028198,
51.11249924,233.8981628,
51.11417007,248.7344055,
51.11583328,241.0326843,
51.11750031,233.8864899,
51.11916733,262.455719,
51.12083435,233.9889679,
51.12250137,271.4720154,
51.12416458,253.9690247,
51.12583542,252.3630981,
51.12750244,266.201416,
51.12916565,247.7016449,
51.13083649,240.6177979,
51.13249969,239.7653656,
51.13416672,255.599884,
51.13583755,262.7774353,
51.13750076,248.6376038,
51.13916779,245.2796173,
51.14083099,247.5400543,
51.14250183,245.1122894,
51.14416885,237.8462372,
51.14583206,221.4165649,
51.1475029,220.5316772,
51.14916611,222.6487427,
51.15083313,217.0530243,
51.15250397,235.5258942,
51.15416718,242.0573578,
51.1558342,272.495697,
51.15749741,276.7510376,
51.15916824,225.9804535,
51.16083527,249.3350983,
51.16249847,247.7610931,
51.16416931,261.8562012,
51.16583252,265.7690735,
51.16749954,251.5981903,
51.16917038,235.3228149,
51.17083359,247.7507324,
51.17250061,247.4385681,
51.17416763,258.2069702,
51.17583466,251.9760895,
51.17750168,258.587616,
51.17916489,246.4715729,
51.18083572,245.7651978,
51.18249893,262.3738708,
51.18416595,237.6948395,
51.18583679,257.0536194,
51.1875,256.2569275,
51.18916702,231.4283447,
51.19083405,232.806076,
51.19250107,236.6018524,
51.19416809,261.0657959,
51.19583511,239.6552734,
51.19750214,212.8680878,
51.19916534,269.7289429,
51.20083237,234.115799,
51.2025032,229.1925964,
51.20416641,274.1878967,
51.20583344,227.8083191,
51.20750046,230.5187836,
51.20916748,274.0783081,
51.2108345,243.8982697,
51.21250153,240.8900604,
51.21416855,259.5665588,
51.21583176,240.1769562,
51.21750259,265.8277893,
51.21916962,264.2688293,
51.22083282,240.0897827,
51.22249985,247.1342163,
51.22416687,230.6720581,
51.22583389,266.7695007,
51.22750092,252.3076172,
51.22916794,249.2337952,
51.23083496,244.8067474,
51.23249817,237.1189117,
51.23416901,254.3205261,
51.23583603,236.3846283,
51.23749924,244.3969727,
51.23917007,254.4741821,
51.24083328,240.5127258,
51.24250031,267.7320862,
51.24416733,266.2008362,
51.24583435,250.2286835,
51.24750137,250.430603,
51.24916458,237.0039825,
51.25083542,251.1806335,
51.25250244,230.1799316,
51.25416565,234.0801544,
51.25583649,227.3197784,
51.25749969,237.6496735,
51.25916672,230.6624756,
51.26083755,237.5102997,
51.26250076,236.334549,
51.26416779,232.8122864,
51.26583099,246.7972412,
51.26750183,221.6577911,
